size	library	time
2x2	scipy	0,00032310199999996403
2x2	pydct	0,0005644109999999314
2x2	scipy	0,00023113699999999238
2x2	pydct	0,0005156330000000153
2x2	scipy	0,00019500900000002375
2x2	pydct	0,0004723359999999621
2x2	scipy	0,00023368800000000967
2x2	pydct	0,0004427739999999236
2x2	scipy	0,00021066800000002495
2x2	pydct	0,0005996729999999673
2x2	scipy	0,0002037310000000403
2x2	pydct	0,0004989330000000347
2x2	scipy	0,000191579999999969
2x2	pydct	0,00047357100000000596
2x2	scipy	0,0002949119999999805
2x2	pydct	0,000480912
2x2	scipy	0,00018140199999994167
2x2	pydct	0,0005102680000000914
2x2	scipy	0,0001816970000000362
2x2	pydct	0,000494627999999997
4x4	scipy	0,00022436699999994758
4x4	pydct	0,000922921000000021
4x4	scipy	0,00019874800000008186
4x4	pydct	0,000936731000000024
4x4	scipy	0,00016299600000002634
4x4	pydct	0,0009101529999999691
4x4	scipy	0,0001616970000000162
4x4	pydct	0,0009179719999999891
4x4	scipy	0,00016238899999998502
4x4	pydct	0,0009183540000000656
4x4	scipy	0,0002530200000000482
4x4	pydct	0,0008914869999999686
4x4	scipy	0,0001912979999999509
4x4	pydct	0,0008917560000000213
4x4	scipy	0,00019968899999989187
4x4	pydct	0,0008928980000000308
4x4	scipy	0,0001837869999998798
4x4	pydct	0,0009105980000001512
4x4	scipy	0,00016189600000005022
4x4	pydct	0,0009214990000001588
8x8	scipy	0,0001772509999999894
8x8	pydct	0,003119941000000015
8x8	scipy	0,00019891100000002382
8x8	pydct	0,0033872579999998376
8x8	scipy	0,0001669440000000577
8x8	pydct	0,003136330999999881
8x8	scipy	0,00022781800000015728
8x8	pydct	0,0031472300000001674
8x8	scipy	0,00016725699999997623
8x8	pydct	0,0030966850000000434
8x8	scipy	0,000164951999999996
8x8	pydct	0,0031816120000001114
8x8	scipy	0,00020372699999993138
8x8	pydct	0,0031363629999998643
8x8	scipy	0,00016476399999998392
8x8	pydct	0,0031797770000001613
8x8	scipy	0,0002504640000000613
8x8	pydct	0,0032787909999998366
8x8	scipy	0,00020544399999988805
8x8	pydct	0,003233585000000039
16x16	scipy	0,00020990100000006784
16x16	pydct	0,01646884999999987
16x16	scipy	0,00025598500000012514
16x16	pydct	0,01652013600000002
16x16	scipy	0,00022395699999999685
16x16	pydct	0,016070014000000077
16x16	scipy	0,00024798500000011714
16x16	pydct	0,016385070000000113
16x16	scipy	0,00023078700000001007
16x16	pydct	0,016805618999999883
16x16	scipy	0,00022854700000007888
16x16	pydct	0,016992751000000084
16x16	scipy	0,00021523600000006304
16x16	pydct	0,016374703999999962
16x16	scipy	0,00023262300000004288
16x16	pydct	0,019469640000000066
16x16	scipy	0,00023709799999993564
16x16	pydct	0,016404764000000016
16x16	scipy	0,00020706799999992143
16x16	pydct	0,016170009999999957
32x32	scipy	0,0002447750000000859
32x32	pydct	0,11552145499999988
32x32	scipy	0,00024438699999995706
32x32	pydct	0,1095122930000001
32x32	scipy	0,0002512429999999011
32x32	pydct	0,1121540459999999
32x32	scipy	0,00031209900000006563
32x32	pydct	0,1090828119999998
32x32	scipy	0,00025005300000002784
32x32	pydct	0,11583623799999998
32x32	scipy	0,00028211700000002615
32x32	pydct	0,11288413299999989
32x32	scipy	0,0002506410000000514
32x32	pydct	0,11482893900000013
32x32	scipy	0,0003612060000000028
32x32	pydct	0,11247268900000007
32x32	scipy	0,00024725799999991693
32x32	pydct	0,11256017399999996
32x32	scipy	0,0002397659999999746
32x32	pydct	0,11321638399999978
64x64	scipy	0,00037207100000014037
64x64	pydct	0,8737214020000001
64x64	scipy	0,0002894969999998054
64x64	pydct	0,8590701270000003
64x64	scipy	0,0003583059999998639
64x64	pydct	0,8515644460000003
64x64	scipy	0,00028969500000020076
64x64	pydct	0,8603422680000001
64x64	scipy	0,00030697799999934716
64x64	pydct	0,8605760259999995
64x64	scipy	0,00026706899999950906
64x64	pydct	0,8546643449999998
64x64	scipy	0,0002580359999999615
64x64	pydct	0,8695743010000001
64x64	scipy	0,00038701499999937994
64x64	pydct	0,8585685989999998
64x64	scipy	0,0003765939999986756
64x64	pydct	0,8595689350000004
64x64	scipy	0,00037646999999907393
64x64	pydct	0,8661368630000013
128x128	scipy	0,0007667460000000403
128x128	pydct	6,826165134
128x128	scipy	0,0006477139999994108
128x128	pydct	6,796977983999998
128x128	scipy	0,0005861009999996725
128x128	pydct	6,789170489
128x128	scipy	0,000500587000001218
128x128	pydct	6,674044566000003
128x128	scipy	0,0006882650000008539
128x128	pydct	6,691468129999997
128x128	scipy	0,0005105939999978659
128x128	pydct	6,798181939000003
128x128	scipy	0,0005925840000031712
128x128	pydct	6,691867761999994
128x128	scipy	0,0006308060000037585
128x128	pydct	6,771096432999997
128x128	scipy	0,0005422490000057678
128x128	pydct	6,790587830999996
128x128	scipy	0,0009088240000068026
128x128	pydct	6,737131138000009
256x256	scipy	0,0019657170000044744
256x256	pydct	54,93632475000001
256x256	scipy	0,0020812390000060077
256x256	pydct	55,033800471000006
256x256	scipy	0,0018856700000071669
256x256	pydct	55,193872868
256x256	scipy	0,0017481499999973948
256x256	pydct	55,04965144799996
256x256	scipy	0,0019181460000368133
256x256	pydct	54,917797931999985
256x256	scipy	0,0018053129999771045
256x256	pydct	55,278702028
256x256	scipy	0,0018797050000216586
256x256	pydct	54,99795605899999
256x256	scipy	0,0020177449999891905
256x256	pydct	54,93279334299996
256x256	scipy	0,001929541999970752
256x256	pydct	54,965929609
256x256	scipy	0,0018181159999812735
256x256	pydct	55,054745558000036
512x512	scipy	0,006951030999971408
512x512	pydct	443,66931779999993
512x512	scipy	0,007023247999995874
512x512	pydct	444,88704230300004
512x512	scipy	0,0083286499998394
512x512	pydct	444,5514358209998
512x512	scipy	0,006423266999945554
512x512	pydct	444,2087673970002
512x512	scipy	0,006744868999703613
512x512	pydct	444,2204355409999
512x512	scipy	0,007633180000084394
512x512	pydct	444,5609433280001
512x512	scipy	0,006182406000334595
512x512	pydct	444,0194810029998
512x512	scipy	0,006411200999991706
512x512	pydct	444,96985651900013
512x512	scipy	0,0061845190002713935
512x512	pydct	444,4868573820004
512x512	scipy	0,006420927000363008
512x512	pydct	445,6770287399995
1024x1024	scipy	0,028667513999607763
1024x1024	pydct	3551,800023038001
1024x1024	scipy	0,029166757998609683
1024x1024	pydct	3582,7887990849995
1024x1024	scipy	0,025091232999329804
1024x1024	pydct	3578,6465358509995
1024x1024	scipy	0,028838039999754983
1024x1024	pydct	3586,115497048999
1024x1024	scipy	0,026129500998649746
1024x1024	pydct	3577,5149736260028
1024x1024	scipy	0,025314501999673666
1024x1024	pydct	3574,9377079840015
1024x1024	scipy	0,024935342000389937
1024x1024	pydct	3578,8455151119997
1024x1024	scipy	0,024441898000077344
1024x1024	pydct	3584,0658875629997
1024x1024	scipy	0,023989111999981105
1024x1024	pydct	3579,573654519998
1024x1024	scipy	0,02640788900316693
1024x1024	pydct	3586,258523684999
